date,max_dew_point_v,max_relative_humidity_v,max_temperature_v,max_wind_speed_v,min_dew_point_v,min_relative_humidity_v,min_temperature_v,min_wind_speed_v,precipitation_v,rain_v,snow_v,snow_on_ground_v
23/8/2023,17.47,88.6,26.19,24.55,12.2,50.15,15.74,3.62,1.74,1.74,0,0
22/8/2023,17.53,88.53,26.3,24.65,12.27,50.09,15.83,3.65,1.8,1.8,0,0
21/8/2023,17.49,88.33,26.3,24.51,12.23,49.86,15.87,3.67,1.84,1.84,0,0
20/8/2023,17.48,88.11,26.35,24.25,12.24,49.72,15.9,3.63,1.84,1.84,0,0
19/8/2023,17.47,87.93,26.42,24.3,12.22,49.55,15.94,3.58,1.8,1.8,0,0
18/8/2023,17.45,87.75,26.43,24.4,12.19,49.39,15.95,3.6,1.94,1.94,0,0
17/8/2023,17.47,87.68,26.46,24.52,12.22,49.4,15.99,3.49,2.02,2.02,0,0
16/8/2023,17.52,87.56,26.5,24.61,12.3,49.76,16.07,3.49,2.21,2.21,0,0
15/8/2023,17.61,87.5,26.59,24.66,12.4,49.86,16.18,3.4,2.27,2.27,0,0
14/8/2023,17.64,87.4,26.67,24.56,12.48,49.85,16.27,3.39,2.33,2.33,0,0
13/8/2023,17.57,87.08,26.68,24.51,12.45,49.67,16.27,3.43,2.21,2.21,0,0
12/8/2023,17.53,86.77,26.73,24.54,12.38,49.19,16.27,3.54,2.1,2.1,0,0
11/8/2023,17.65,86.83,26.86,24.64,12.45,49.22,16.38,3.52,2.26,2.26,0,0
10/8/2023,17.74,86.81,26.96,24.72,12.48,49.16,16.45,3.45,2.37,2.37,0,0
9/8/2023,17.8,86.65,27.03,24.74,12.54,49.2,16.54,3.42,2.46,2.46,0,0
8/8/2023,17.84,86.6,27.14,24.8,12.61,48.84,16.65,3.42,2.56,2.56,0,0
7/8/2023,17.88,86.58,27.19,24.71,12.66,48.84,16.7,3.39,2.68,2.68,0,0
6/8/2023,17.88,86.54,27.24,24.62,12.72,48.86,16.74,3.4,2.71,2.71,0,0
5/8/2023,17.87,86.48,27.31,24.91,12.75,48.7,16.77,3.41,2.71,2.71,0,0
4/8/2023,17.9,86.56,27.34,25.07,12.76,48.55,16.81,3.44,2.76,2.76,0,0
3/8/2023,17.95,86.61,27.38,25.16,12.83,48.6,16.87,3.46,2.69,2.69,0,0
2/8/2023,17.96,86.52,27.42,25.15,12.83,48.63,16.87,3.55,2.65,2.65,0,0
1/8/2023,17.96,86.56,27.45,25.25,12.74,48.16,16.86,3.58,2.56,2.56,0,0
31/7/2023,17.89,86.4,27.39,25.21,12.7,48.14,16.86,3.54,2.59,2.59,0,0
30/7/2023,17.93,86.32,27.46,25.45,12.68,48,16.88,3.54,2.72,2.72,0,0
29/7/2023,18.04,86.43,27.53,25.41,12.78,48.16,16.97,3.47,2.97,2.97,0,0
28/7/2023,18.14,86.47,27.61,25.38,12.86,48.25,17.1,3.43,2.93,2.93,0,0
27/7/2023,18.09,86.28,27.6,25.4,12.83,48.1,17.1,3.44,2.81,2.81,0,0
26/7/2023,18.06,86.14,27.58,25.65,12.78,48.12,17.08,3.5,2.96,2.96,0,0
25/7/2023,18.05,86.23,27.58,25.72,12.73,48.04,17.09,3.55,2.78,2.78,0,0
24/7/2023,18.08,86.19,27.6,25.76,12.76,48.23,17.12,3.64,2.81,2.81,0,0
23/7/2023,18.12,86.13,27.61,25.78,12.76,48.21,17.17,3.62,2.63,2.63,0,0
22/7/2023,18.21,86.17,27.68,26.15,12.78,48.08,17.21,3.61,2.65,2.65,0,0
21/7/2023,18.22,86.06,27.7,25.97,12.81,48.18,17.27,3.57,2.63,2.63,0,0
20/7/2023,18.18,85.71,27.76,25.93,12.78,48.05,17.28,3.59,2.57,2.57,0,0
19/7/2023,18.06,85.38,27.75,25.72,12.65,47.83,17.23,3.52,2.51,2.51,0,0
18/7/2023,17.98,85.21,27.74,25.76,12.49,47.39,17.14,3.56,2.48,2.48,0,0
17/7/2023,17.88,85.12,27.69,25.83,12.43,47.29,17.06,3.67,2.47,2.47,0,0
16/7/2023,17.88,85.11,27.71,26.03,12.38,47.26,17.06,3.72,2.43,2.43,0,0
15/7/2023,17.84,85.22,27.64,26.05,12.36,47.36,17.04,3.67,2.63,2.63,0,0
14/7/2023,17.83,85.18,27.61,26.06,12.31,47.37,17.01,3.69,2.59,2.59,0,0
13/7/2023,17.77,84.97,27.63,26.15,12.29,47.3,17,3.78,2.55,2.55,0,0
12/7/2023,17.75,84.63,27.68,26.36,12.23,47.24,16.98,3.84,2.44,2.44,0,0
11/7/2023,17.65,84.36,27.68,26.22,12.07,46.82,16.9,3.86,2.24,2.24,0,0
10/7/2023,17.51,84.02,27.6,26.13,11.92,46.65,16.75,3.84,2.19,2.19,0,0
9/7/2023,17.29,83.76,27.48,26.16,11.69,46.42,16.59,3.87,2.05,2.05,0,0
8/7/2023,17.18,83.62,27.39,26.59,11.52,46.24,16.43,3.98,2.05,2.05,0,0
7/7/2023,17.06,83.6,27.28,26.52,11.48,46.43,16.34,3.98,2.03,2.03,0,0
6/7/2023,17.04,83.75,27.2,26.79,11.4,46.51,16.23,3.99,2.17,2.17,0,0
5/7/2023,17.02,83.96,27.08,26.82,11.43,46.83,16.18,3.92,2.31,2.31,0,0
4/7/2023,17.07,84.11,27.03,27.08,11.46,47.1,16.21,4,2.5,2.5,0,0
3/7/2023,17.11,84.28,27.06,27.19,11.55,47.2,16.29,3.99,2.49,2.49,0,0
2/7/2023,17.17,84.31,27.07,27.23,11.59,47.5,16.36,3.9,2.55,2.55,0,0
1/7/2023,17.14,84.22,27.04,27.08,11.56,47.59,16.28,3.9,2.72,2.72,0,0
30/6/2023,17.03,84.02,26.99,26.86,11.41,47.46,16.15,3.91,2.39,2.39,0,0
29/6/2023,16.95,83.94,26.92,27.12,11.24,47.21,16.02,3.95,2.28,2.28,0,0
28/6/2023,16.87,84.02,26.83,27.18,11.1,47.16,15.88,3.86,2.46,2.46,0,0
27/6/2023,16.7,84.05,26.62,26.9,10.97,47.31,15.76,3.85,2.53,2.53,0,0
26/6/2023,16.61,84.21,26.48,26.91,10.92,47.54,15.68,3.84,2.53,2.53,0,0
25/6/2023,16.58,84.38,26.39,26.89,10.88,47.89,15.65,3.81,2.6,2.6,0,0
24/6/2023,16.55,84.36,26.28,26.82,10.84,48.14,15.59,3.73,2.62,2.62,0,0
23/6/2023,16.41,84.38,26.17,26.5,10.69,48.2,15.47,3.59,2.78,2.78,0,0
22/6/2023,16.26,84.23,26.02,26.3,10.37,47.86,15.29,3.53,2.69,2.69,0,0
21/6/2023,16.1,84.12,25.84,26.19,10.16,47.75,15.16,3.61,2.53,2.53,0,0
20/6/2023,15.97,84.14,25.65,26.09,9.92,47.76,14.99,3.69,2.69,2.69,0,0
19/6/2023,15.8,84.17,25.47,25.98,9.7,47.7,14.79,3.68,2.53,2.53,0,0
18/6/2023,15.67,84.11,25.28,25.91,9.53,47.9,14.63,3.7,2.61,2.61,0,0
17/6/2023,15.48,84.06,25.07,25.81,9.32,47.89,14.41,3.65,2.62,2.62,0,0
16/6/2023,15.35,84.08,24.98,25.9,9.19,47.84,14.24,3.65,2.53,2.53,0,0
15/6/2023,15.22,84.09,24.82,26.19,9.08,47.9,14.15,3.76,2.56,2.56,0,0
14/6/2023,15.06,84,24.66,26.12,8.94,48.14,13.97,3.76,2.54,2.54,0,0
13/6/2023,14.87,84.08,24.41,26.08,8.74,48.26,13.77,3.75,2.44,2.44,0,0
12/6/2023,14.73,84.34,24.2,26.2,8.58,48.44,13.56,3.74,2.41,2.41,0,0
11/6/2023,14.46,84.35,23.91,26.03,8.34,48.38,13.3,3.73,2.44,2.44,0,0
10/6/2023,14.17,84.44,23.59,26,8.09,48.25,13.01,3.76,2.48,2.48,0,0
9/6/2023,14.05,84.62,23.4,26.2,7.83,48.17,12.77,3.8,2.58,2.58,0,0
8/6/2023,13.92,84.66,23.16,26.46,7.7,48.3,12.62,3.94,2.57,2.57,0,0
7/6/2023,13.87,84.75,23.09,26.86,7.65,48.3,12.52,3.99,2.76,2.76,0,0
6/6/2023,13.73,84.45,23.12,26.83,7.53,47.96,12.37,3.9,2.75,2.75,0,0
5/6/2023,13.56,84.21,23.08,27.09,7.38,47.63,12.22,3.92,2.45,2.45,0,0
4/6/2023,13.41,84.3,22.93,27.06,7.24,47.62,12.03,3.82,2.57,2.57,0,0
3/6/2023,13.18,84.22,22.71,26.93,7.04,47.57,11.77,3.76,2.48,2.48,0,0
2/6/2023,13.06,84.11,22.59,27.01,6.89,47.59,11.61,3.8,2.39,2.39,0,0
1/6/2023,12.87,83.91,22.33,27.12,6.66,47.68,11.46,3.88,2.47,2.47,0,0
31/5/2023,12.71,83.77,22.21,27.11,6.4,47.45,11.24,3.87,2.37,2.37,0,0
30/5/2023,12.51,83.76,22.02,27.05,6.23,47.44,11,3.86,2.37,2.37,0,0
29/5/2023,12.29,83.71,21.76,26.93,6.04,47.6,10.82,3.88,2.38,2.38,0,0
28/5/2023,12.09,83.52,21.65,27.12,5.81,47.11,10.67,3.91,2.4,2.4,0,0
27/5/2023,12.01,83.3,21.62,27.42,5.62,46.84,10.53,3.94,2.39,2.39,0,0
26/5/2023,11.91,82.96,21.57,27.47,5.31,46.48,10.36,3.88,2.32,2.32,0,0
25/5/2023,11.62,82.65,21.34,27.34,5.08,46.28,10.14,3.83,2.32,2.32,0,0
24/5/2023,11.34,82.68,21.08,27.21,4.78,46.19,9.84,3.81,2.19,2.19,0,0
23/5/2023,11.06,82.75,20.69,27.07,4.5,46.58,9.54,3.78,2.15,2.15,0,0
22/5/2023,10.88,82.99,20.32,27.31,4.22,46.86,9.26,3.86,2.35,2.34,0,0
21/5/2023,10.61,82.98,20.01,27.4,3.92,46.81,8.96,3.86,2.43,2.43,0,0
20/5/2023,10.24,82.54,19.71,27.47,3.48,46.43,8.66,3.95,2.28,2.28,0,0
19/5/2023,9.92,82.24,19.34,27.79,3.05,46.2,8.41,4.1,2.38,2.38,0,0
18/5/2023,9.61,82.25,19.03,28.03,2.73,46.01,8.13,4.12,2.51,2.5,0.01,0
17/5/2023,9.41,82.19,18.86,28.11,2.48,45.67,7.88,4.16,2.45,2.44,0.01,0
16/5/2023,9.24,82.38,18.63,28.1,2.23,45.51,7.69,3.99,2.56,2.55,0.01,0
15/5/2023,8.97,82.27,18.38,28.21,1.91,44.9,7.54,4.02,2.48,2.47,0.01,0
14/5/2023,8.76,81.91,18.24,28.32,1.6,44.4,7.33,3.98,2.44,2.43,0.01,0
13/5/2023,8.58,81.6,18.07,28.41,1.37,44.13,7.17,3.94,2.32,2.31,0.01,0
12/5/2023,8.42,81.57,17.88,28.44,1.22,44.11,7.04,3.88,2.37,2.36,0.01,0
11/5/2023,8.25,81.64,17.7,28.54,1.12,44.18,6.9,3.93,2.41,2.4,0.01,0
10/5/2023,8.14,81.82,17.55,28.55,1.03,44.3,6.8,3.9,2.45,2.45,0.01,0
9/5/2023,8.04,81.79,17.44,28.61,0.97,44.49,6.74,3.97,2.54,2.54,0.01,0
8/5/2023,7.95,81.76,17.37,28.62,0.74,44.1,6.66,3.98,2.53,2.52,0.01,0
7/5/2023,7.61,81.29,17.12,28.54,0.45,43.84,6.47,3.93,2.44,2.43,0.01,0
6/5/2023,7.22,80.9,16.85,28.57,0.1,43.44,6.21,4.03,2.38,2.37,0.01,0
5/5/2023,6.96,80.84,16.62,28.96,-0.16,43.31,5.97,4.09,2.47,2.46,0.01,0
4/5/2023,6.76,80.79,16.46,29.09,-0.4,43.21,5.71,4.11,2.34,2.33,0.01,0
3/5/2023,6.55,80.67,16.2,29.28,-0.63,43.27,5.48,4.24,2.31,2.3,0,0
2/5/2023,6.29,80.84,15.86,29.36,-0.96,43.23,5.23,4.17,2.38,2.37,0,0
1/5/2023,5.89,80.26,15.59,29.45,-1.28,43.01,4.96,4.32,2.28,2.27,0,0
30/4/2023,5.66,80.12,15.36,29.85,-1.54,43.04,4.71,4.41,2.38,2.37,0.01,0
29/4/2023,5.49,80.39,15.07,30.07,-1.67,43.43,4.48,4.5,2.4,2.39,0.01,0
28/4/2023,5.31,80.77,14.8,30.04,-1.83,43.88,4.26,4.5,2.55,2.53,0.02,0
27/4/2023,5.1,80.86,14.49,30.28,-2.02,44.3,4.03,4.64,2.76,2.74,0.02,0
26/4/2023,5.01,80.98,14.36,30.62,-2.17,44.32,3.86,4.73,2.81,2.79,0.02,0
25/4/2023,4.81,80.82,14.18,30.7,-2.41,44.21,3.61,4.87,2.63,2.59,0.04,0
24/4/2023,4.51,80.4,13.9,30.82,-2.78,43.83,3.33,5.03,2.52,2.48,0.04,0
23/4/2023,4.29,80.2,13.72,31.23,-2.96,43.81,3.12,5.15,2.53,2.48,0.04,0.1
22/4/2023,4.19,80.07,13.62,31.41,-3.13,43.77,3,5.25,2.45,2.37,0.06,0.1
21/4/2023,4.17,80.2,13.51,31.3,-3.25,43.94,2.89,5.14,2.52,2.37,0.07,0.1
20/4/2023,4.19,80.32,13.43,31.18,-3.22,44.24,2.85,5.08,2.53,2.38,0.07,0.1
19/4/2023,4.17,80.6,13.3,31.15,-3.21,44.59,2.82,4.97,2.72,2.56,0.07,0.1
18/4/2023,4.01,80.54,13.12,30.89,-3.38,44.47,2.68,4.89,2.66,2.47,0.09,0.1
17/4/2023,3.77,80.36,12.96,30.83,-3.47,44.46,2.49,5.04,2.48,2.27,0.1,0.1
16/4/2023,3.69,80.59,12.69,31.03,-3.6,44.82,2.31,5.18,2.47,2.26,0.1,0.2
15/4/2023,3.56,80.87,12.42,30.94,-3.69,45.11,2.15,5.23,2.46,2.24,0.11,0.2
14/4/2023,3.35,80.94,12.17,30.98,-3.89,45.18,1.96,5.33,2.51,2.28,0.11,0.3
13/4/2023,3.11,80.98,11.87,30.98,-4.15,45.06,1.69,5.41,2.55,2.28,0.16,0.4
12/4/2023,2.72,80.59,11.49,30.92,-4.51,44.75,1.38,5.43,2.2,1.93,0.16,0.4
11/4/2023,2.4,80.76,11.03,31.07,-4.85,44.93,1.07,5.6,2.23,1.9,0.2,0.5
10/4/2023,2.25,81.27,10.68,31.3,-4.99,45.3,0.9,5.62,2.51,2.07,0.27,0.5
9/4/2023,2.11,81.45,10.53,31.27,-5.1,45.33,0.77,5.45,2.58,2.1,0.31,0.5
8/4/2023,1.91,81.61,10.23,31.12,-5.27,45.52,0.61,5.51,2.48,1.99,0.32,0.5
7/4/2023,1.85,82.14,10,31.11,-5.34,45.91,0.44,5.58,2.49,2.03,0.31,0.5
6/4/2023,1.71,82.32,9.76,31.24,-5.4,46.16,0.27,5.69,2.47,2.05,0.32,0.5
5/4/2023,1.57,82.42,9.59,31.16,-5.55,46.2,0.12,5.72,2.49,2.06,0.33,0.5
4/4/2023,1.41,82.4,9.42,31.08,-5.68,46.3,-0.06,5.76,2.3,1.88,0.32,0.5
3/4/2023,1.28,82.62,9.22,30.71,-5.79,46.71,-0.26,5.74,2.19,1.8,0.31,0.5
2/4/2023,1.14,82.69,8.95,30.78,-5.96,47.04,-0.41,5.74,2.25,1.85,0.32,0.5
1/4/2023,1.05,82.94,8.76,30.71,-6.08,47.35,-0.55,5.64,2.22,1.81,0.34,0.6
31/3/2023,0.85,82.91,8.54,30.35,-6.25,47.6,-0.77,5.53,2.12,1.7,0.34,0.6
30/3/2023,0.58,82.64,8.3,30.22,-6.5,47.43,-0.97,5.5,2.06,1.61,0.37,0.7
29/3/2023,0.38,82.39,8.05,30.4,-6.7,47.65,-1.18,5.7,1.88,1.46,0.34,0.7
28/3/2023,0.44,82.82,7.96,30.42,-6.73,48.12,-1.27,5.75,1.95,1.49,0.38,0.7
27/3/2023,0.32,82.64,7.82,29.98,-6.73,48.4,-1.36,5.7,1.88,1.44,0.38,0.7
26/3/2023,0.07,82.14,7.59,29.65,-6.97,48.31,-1.55,5.69,1.6,1.27,0.3,0.7
25/3/2023,-0.08,82.12,7.33,29.69,-7.2,48.46,-1.77,5.81,1.55,1.25,0.27,0.8
24/3/2023,-0.33,81.93,7.12,29.64,-7.45,48.38,-2.09,5.78,1.46,1.17,0.28,0.9
23/3/2023,-0.67,81.76,6.74,29.55,-7.73,48.42,-2.4,5.86,1.37,1.07,0.29,1.1
22/3/2023,-0.81,81.86,6.49,29.69,-7.9,48.73,-2.6,5.9,1.27,0.97,0.31,1.3
21/3/2023,-0.94,81.99,6.21,30,-8.05,49.14,-2.82,5.93,1.21,0.84,0.36,1.7
20/3/2023,-1.17,82.01,5.85,30.11,-8.36,49.1,-3.11,6.02,1.25,0.87,0.38,1.9
19/3/2023,-1.36,82.04,5.57,30.6,-8.64,49.08,-3.36,6.14,1.31,0.9,0.42,2.1
18/3/2023,-1.44,82.12,5.4,30.75,-8.77,49.27,-3.53,6.09,1.27,0.85,0.44,2.4
17/3/2023,-1.65,82.26,5.11,30.76,-8.89,49.73,-3.77,6.13,1.3,0.87,0.45,2.7
16/3/2023,-1.69,82.34,4.99,31.16,-9.04,49.97,-3.97,6.27,1.38,0.91,0.49,3
15/3/2023,-1.67,82.55,4.86,31.27,-9.09,50.54,-4.13,6.32,1.4,0.93,0.5,3.3
14/3/2023,-1.72,82.79,4.72,31.03,-9.15,51.05,-4.3,6.04,1.51,1.02,0.51,3.7
13/3/2023,-1.93,82.9,4.43,30.99,-9.35,51.33,-4.56,6.03,1.49,0.97,0.56,4.1
12/3/2023,-2.23,82.82,4.09,31.12,-9.65,51.41,-4.89,6.03,1.59,0.99,0.66,4.4
11/3/2023,-2.48,82.91,3.76,31.42,-9.92,51.46,-5.2,6.26,1.58,0.93,0.71,4.6
10/3/2023,-2.74,83,3.4,31.52,-10.12,52.03,-5.5,6.22,1.59,0.93,0.72,4.8
9/3/2023,-2.87,83.21,3.09,31.7,-10.2,52.59,-5.66,6.29,1.66,0.97,0.75,5.1
8/3/2023,-2.85,83.48,2.93,31.92,-10.27,53.26,-5.8,6.13,1.76,1.02,0.8,5.3
7/3/2023,-3.05,83.53,2.64,31.57,-10.5,53.65,-6.1,6.01,1.81,1.07,0.8,5.5
6/3/2023,-3.28,83.47,2.37,31.45,-10.77,53.9,-6.4,6,1.85,1.07,0.83,5.6
5/3/2023,-3.53,83.45,2.13,31.56,-10.92,54.27,-6.61,6.02,1.86,1.03,0.88,5.7
