Toronto Downtown, (31103) Hourly, Fine Particulate Matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Toronto Downtown (31103),,,,,,,,,,,,,,,,,,,,,,,,,
Address,Bay St./wellesley St. W.,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.662972,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.388111,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 105 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air Intake Height,10 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Fine Particulate Matter,8/2/2003,5,2,1,2,4,5,5,6,5,2,2,3,4,3,4,4,4,5,7,7,7,8,9,9
31103,Fine Particulate Matter,9/2/2003,8,7,7,3,6,6,5,2,3,1,0,2,1,2,3,2,1,2,3,6,6,5,7,7
31103,Fine Particulate Matter,10/2/2003,4,4,5,3,3,3,3,4,3,2,7,9,7,10,8,7,0,0,1,2,4,3,3,3
31103,Fine Particulate Matter,11/2/2003,3,2,4,1,3,3,4,8,11,10,10,5,0,0,1,5,2,5,5,6,4,1,1,3
31103,Fine Particulate Matter,12/2/2003,3,3,5,5,4,2,5,7,1,2,3,2,3,2,1,5,5,1,5,5,5,5,3,6
31103,Fine Particulate Matter,13/2/2003,2,3,4,1,8,2,3,5,6,7,6,4,5,3,4,7,5,1,5,6,9,7,7,7
31103,Fine Particulate Matter,14/2/2003,5,5,2,1,3,3,6,8,9,8,7,5,4,3,4,5,5,6,6,6,6,6,6,4
31103,Fine Particulate Matter,15/2/2003,5,3,4,2,3,4,4,5,6,5,5,5,4,4,4,4,3,7,7,7,7,7,9,7
31103,Fine Particulate Matter,16/2/2003,5,3,4,5,5,3,1,3,3,3,4,7,2,0,3,3,0,2,4,5,5,6,5,4
31103,Fine Particulate Matter,17/2/2003,5,4,4,3,3,5,6,7,10,6,8,6,5,4,6,5,4,4,8,6,6,6,5,5
31103,Fine Particulate Matter,18/2/2003,7,5,5,4,2,3,8,12,12,12,12,13,10,5,8,7,12,15,13,14,13,12,13,17
31103,Fine Particulate Matter,19/2/2003,17,15,16,13,12,15,16,18,20,19,19,18,17,17,21,22,21,23,12,3,5,7,8,9
31103,Fine Particulate Matter,20/2/2003,9,8,9,8,9,10,9,8,13,12,12,10,8,7,7,7,5,4,0,4,5,4,3,3
31103,Fine Particulate Matter,21/2/2003,4,5,4,6,6,6,6,8,10,8,14,8,10,9,11,11,10,10,13,14,14,14,18,27
31103,Fine Particulate Matter,22/2/2003,20,12,7,5,4,4,5,5,5,9,10,9,13,10,10,8,5,4,3,3,3,4,4,3
31103,Fine Particulate Matter,23/2/2003,1,3,2,1,0,1,1,2,3,2,3,4,4,4,5,4,5,6,4,5,6,6,4,4
31103,Fine Particulate Matter,24/2/2003,4,2,1,3,3,2,3,5,5,5,8,9,8,8,10,10,13,13,12,15,3,1,1,2
31103,Fine Particulate Matter,25/2/2003,2,3,3,4,4,5,3,5,10,6,8,7,4,2,3,5,6,3,6,7,9,8,7,6
31103,Fine Particulate Matter,26/2/2003,7,5,5,6,5,3,5,9,13,8,11,13,10,9,8,8,9,9,9,10,11,11,12,14
31103,Fine Particulate Matter,27/2/2003,15,13,10,10,7,8,9,12,13,12,11,7,6,7,7,9,10,13,13,15,18,18,19,18
31103,Fine Particulate Matter,28/2/2003,18,13,12,11,12,15,16,20,22,26,16,23,18,20,15,15,19,21,18,17,21,29,26,24
31103,Fine Particulate Matter,1/3/2003,24,16,21,18,18,19,12,12,16,14,17,15,17,18,15,16,14,19,20,20,19,20,19,19
31103,Fine Particulate Matter,2/3/2003,20,18,18,16,15,13,10,17,23,23,18,18,19,15,3,0,0,1,2,2,4,3,1,1
31103,Fine Particulate Matter,3/3/2003,2,2,1,2,2,3,3,4,3,5,7,7,4,4,10,5,6,5,4,5,7,7,8,5
31103,Fine Particulate Matter,4/3/2003,2,4,5,6,6,5,6,8,13,16,15,10,12,8,11,13,10,14,17,17,16,17,16,0
31103,Fine Particulate Matter,5/3/2003,1,0,2,2,3,3,3,4,4,6,7,7,7,4,5,8,6,4,5,7,9,10,7,6
31103,Fine Particulate Matter,6/3/2003,4,2,1,1,2,3,4,7,9,7,5,4,4,5,6,5,5,5,6,5,6,5,5,10
31103,Fine Particulate Matter,7/3/2003,15,12,11,13,14,7,1,5,7,6,9999,9999,5,6,8,10,10,13,12,13,12,13,15,16
31103,Fine Particulate Matter,8/3/2003,15,14,11,9,13,11,11,15,15,13,11,10,10,11,11,12,11,13,14,14,15,17,5,4
31103,Fine Particulate Matter,9/3/2003,4,5,3,1,4,3,5,4,4,3,3,3,3,3,3,4,3,4,5,6,6,8,8,4
31103,Fine Particulate Matter,10/3/2003,3,5,4,4,4,5,6,7,8,7,9999,9999,9999,9999,9999,-999,-999,-999,-999,-999,-999,-999,-999,-999
31103,Fine Particulate Matter,10/3/2003,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,5,6,7,8,9,7,6
31103,Fine Particulate Matter,12/3/2003,5,7,10,11,13,12,12,11,5,7,7,8,7,9,9,9,8,8,8,5,5,5,5,3
31103,Fine Particulate Matter,13/3/2003,3,5,3,5,5,6,6,4,2,4,3,6,4,4,6,7,6,5,6,7,6,6,4,5
31103,Fine Particulate Matter,14/3/2003,4,4,3,4,4,5,5,9,11,6,4,5,4,3,3,5,6,8,7,7,7,7,5,5
31103,Fine Particulate Matter,15/3/2003,6,6,11,12,13,11,12,16,10,9,13,11,12,14,11,7,8,9,11,12,13,13,12,15
31103,Fine Particulate Matter,16/3/2003,15,19,16,13,15,14,13,11,10,11,11,17,34,34,30,32,33,33,32,31,38,37,25,32
31103,Fine Particulate Matter,17/3/2003,28,37,37,37,39,39,40,38,40,49,42,56,59,39,32,34,39,36,41,36,36,34,33,30
31103,Fine Particulate Matter,18/3/2003,24,22,21,19,17,14,11,11,7,8,7,9,8,5,5,4,3,4,4,4,4,3,4,0
31103,Fine Particulate Matter,19/3/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,2,2,3
31103,Fine Particulate Matter,20/3/2003,6,9,14,14,16,10,8,8,8,7,6,6,7,6,6,4,6,8,5,1,4,4,3,2
31103,Fine Particulate Matter,21/3/2003,1,0,0,1,2,1,5,12,15,15,4,3,1,4,2,4,3,7,7,9,10,8,11,5
31103,Fine Particulate Matter,22/3/2003,5,6,5,7,10,11,12,13,14,15,14,14,14,13,1,5,5,6,12,14,10,11,10,11
31103,Fine Particulate Matter,23/3/2003,11,11,8,5,7,8,7,1,0,0,4,11,8,4,5,8,7,7,14,14,15,14,16,15
31103,Fine Particulate Matter,24/3/2003,15,15,12,16,19,20,21,22,20,19,17,15,9,10,12,17,15,13,12,15,17,17,17,15
31103,Fine Particulate Matter,25/3/2003,15,15,13,18,21,18,22,24,28,16,9,11,9,7,6,7,6,7,2,3,3,3,4,3
31103,Fine Particulate Matter,26/3/2003,2,3,0,0,0,0,1,2,3,2,1,1,2,9999,9999,9999,9999,9999,0,0,2,3,4,3
31103,Fine Particulate Matter,27/3/2003,3,2,5,6,5,6,8,11,17,14,7,6,6,7,8,10,12,11,9,7,8,6,5,4
31103,Fine Particulate Matter,28/3/2003,3,3,5,6,5,7,8,10,12,12,11,11,10,10,9,9,10,9,11,13,12,10,9,7
31103,Fine Particulate Matter,29/3/2003,11,10,8,2,2,3,5,3,1,2,0,4,4,4,5,6,6,5,5,5,5,4,3,4
31103,Fine Particulate Matter,30/3/2003,2,1,2,0,2,3,3,2,0,1,3,0,3,1,2,3,3,3,2,3,4,4,5,5
31103,Fine Particulate Matter,31/3/2003,5,4,3,4,4,6,5,8,7,8,5,11,5,5,8,8,6,5,11,6,6,6,4,4
31103,Fine Particulate Matter,1/4/2003,5,5,2,3,1,2,4,4,4,6,7,8,6,5,9,8,9,11,12,11,10,10,9,8
31103,Fine Particulate Matter,2/4/2003,9,10,11,13,12,13,14,13,15,14,9,14,11,8,12,10,7,8,8,7,4,2,2,4
31103,Fine Particulate Matter,3/4/2003,4,5,5,4,4,3,4,4,3,6,5,4,5,5,5,3,4,4,5,6,3,3,2,1
31103,Fine Particulate Matter,4/4/2003,3,2,3,3,2,3,0,4,3,4,4,4,4,5,4,4,2,3,4,3,2,2,2,1
31103,Fine Particulate Matter,5/4/2003,0,0,0,0,0,2,1,0,4,4,8,10,12,8,5,4,5,5,5,6,6,6,6,7
31103,Fine Particulate Matter,6/4/2003,6,9999,-999,-999,3,4,4,5,4,5,5,4,5,4,5,8,6,6,7,7,6,8,7,5
31103,Fine Particulate Matter,7/4/2003,5,2,2,2,4,4,3,4,2,2,4,2,1,3,2,4,1,4,4,5,6,5,5,5
31103,Fine Particulate Matter,8/4/2003,4,3,4,3,4,4,7,9,9,9,9,9,9,9,10,9,10,11,10,9,8,6,6,6
31103,Fine Particulate Matter,9/4/2003,6,5,6,5,5,6,9,11,8,10,9,11,9,9,10,9,8,8,10,13,13,11,12,13
31103,Fine Particulate Matter,10/4/2003,14,17,18,19,17,23,29,36,26,28,24,11,1,5,3,5,4,4,4,7,7,6,10,12
31103,Fine Particulate Matter,11/4/2003,11,6,9,7,5,6,9,11,7,9,10,8,7,10,11,4,9,10,8,17,16,18,17,20
31103,Fine Particulate Matter,12/4/2003,24,23,13,4,4,5,3,2,3,3,3,2,4,3,1,2,3,4,5,4,2,3,3,3
31103,Fine Particulate Matter,13/4/2003,3,3,2,2,3,3,3,4,3,3,3,5,5,5,4,5,6,5,8,9,12,13,7,13
31103,Fine Particulate Matter,14/4/2003,8,8,11,6,6,5,13,12,8,10,10,6,6,11,12,10,7,6,10,13,13,13,11,10
31103,Fine Particulate Matter,15/4/2003,10,11,11,12,12,13,14,16,17,17,18,18,19,20,19,19,16,11,11,11,11,11,13,13
31103,Fine Particulate Matter,16/4/2003,16,19,18,15,12,11,14,12,7,5,8,5,5,5,6,5,3,1,4,5,4,2,3,1
31103,Fine Particulate Matter,17/4/2003,2,1,3,2,3,4,3,4,4,5,5,4,5,4,4,4,3,3,3,4,5,4,4,4
31103,Fine Particulate Matter,18/4/2003,4,5,6,10,13,14,13,11,9,8,9,11,11,10,10,12,13,14,16,22,14,13,13,10
31103,Fine Particulate Matter,19/4/2003,9,12,11,10,6,8,9,9,6,5,6,5,6,4,4,4,9,14,13,12,11,10,8,9
31103,Fine Particulate Matter,20/4/2003,8,9,10,11,13,13,13,16,15,13,14,14,16,15,15,13,12,15,12,13,14,13,15,10
31103,Fine Particulate Matter,21/4/2003,9,6,5,5,6,6,8,9,11,10,9,11,7,8,3,5,4,7,8,9,9,11,11,11
31103,Fine Particulate Matter,22/4/2003,0,0,0,1,1,2,3,2,0,0,0,2,3,3,3,0,0,1,2,3,2,0,1,0
31103,Fine Particulate Matter,23/4/2003,0,0,0,1,2,3,3,3,4,4,5,5,5,4,4,6,8,4,2,4,6,7,8,7
31103,Fine Particulate Matter,24/4/2003,4,3,4,4,3,4,4,3,1,2,2,3,1,2,1,3,2,3,6,10,11,1,2,5
31103,Fine Particulate Matter,25/4/2003,5,3,4,6,7,7,12,12,5,3,3,4,5,5,3,4,4,4,5,6,8,4,5,6
31103,Fine Particulate Matter,26/4/2003,6,6,5,6,7,8,9,10,7,6,6,7,9,10,8,4,3,2,2,5,5,5,5,5
31103,Fine Particulate Matter,27/4/2003,5,5,5,4,4,4,6,5,3,2,6,3,3,1,4,7,7,4,4,4,6,7,6,7
31103,Fine Particulate Matter,28/4/2003,10,10,10,9,11,12,14,17,21,19,21,22,19,19,19,19,21,22,23,28,10,2,2,2
31103,Fine Particulate Matter,29/4/2003,2,1,1,2,2,3,4,4,1,1,2,1,1,5,4,4,4,5,5,2,2,2,1,3
31103,Fine Particulate Matter,30/4/2003,2,2,3,2,2,5,8,8,4,6,5,6,5,3,4,3,2,1,1,4,6,6,5,6
31103,Fine Particulate Matter,1/5/2003,10,8,6,8,8,9,10,11,11,17,22,33,31,27,11,6,6,8,9,10,7,7,6,5
31103,Fine Particulate Matter,2/5/2003,5,5,4,5,2,5,6,5,6,5,6,6,9,8,4,4,5,6,7,8,4,1,5,10
31103,Fine Particulate Matter,3/5/2003,6,7,8,10,3,0,1,0,1,1,1,2,1,2,0,1,1,1,1,3,4,5,10,11
31103,Fine Particulate Matter,4/5/2003,13,11,9,6,5,4,3,6,9,1,0,7,2,1,1,1,0,2,2,5,4,3,2,1
31103,Fine Particulate Matter,5/5/2003,1,4,6,4,4,5,7,8,9,10,12,13,14,13,5,4,4,5,5,6,6,6,9,4
31103,Fine Particulate Matter,6/5/2003,6,8,7,8,9,11,12,13,13,11,13,17,15,19,19,21,14,1,1,4,6,7,8,9
31103,Fine Particulate Matter,7/5/2003,12,2,1,2,1,1,3,0,2,3,6,6,7,7,5,7,10,7,8,7,6,5,5,6
31103,Fine Particulate Matter,8/5/2003,5,7,8,5,3,4,5,6,5,4,8,14,10,6,6,7,5,3,5,1,1,2,2,2
31103,Fine Particulate Matter,9/5/2003,2,2,1,2,2,4,6,8,5,3,2,3,3,0,1,4,4,5,3,6,5,4,3,3
31103,Fine Particulate Matter,10/5/2003,4,4,5,3,2,3,1,5,3,2,7,4,1,5,3,3,2,1,3,3,2,1,2,0
31103,Fine Particulate Matter,11/5/2003,0,2,1,1,3,2,3,6,7,8,10,9,14,12,10,3,3,2,3,2,1,1,0,1
31103,Fine Particulate Matter,12/5/2003,0,0,0,0,0,1,1,1,2,2,1,1,2,2,3,3,5,3,1,1,1,0,0,1
31103,Fine Particulate Matter,13/5/2003,0,0,0,1,0,1,2,3,3,4,4,3,5,5,4,6,6,6,4,4,4,3,3,3
31103,Fine Particulate Matter,14/5/2003,2,2,3,4,4,6,6,4,2,2,2,2,3,8,6,8,7,6,5,4,5,4,5,4
31103,Fine Particulate Matter,15/5/2003,3,5,5,5,4,7,7,8,7,4,3,3,3,1,3,3,2,4,9,9,10,8,8,9
31103,Fine Particulate Matter,16/5/2003,9,9,10,8,7,8,7,4,4,4,3,3,4,4,3,4,4,3,4,6,6,6,5,5
31103,Fine Particulate Matter,17/5/2003,5,4,3,5,6,5,5,6,5,5,5,5,5,5,6,4,4,3,4,4,4,4,4,5
