Toronto Downtown, (31103) Hourly, Fine Particulate Matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Toronto Downtown (31103),,,,,,,,,,,,,,,,,,,,,,,,,
Address,Bay St./wellesley St. W.,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.662972,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.388111,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 105 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air Intake Height,10 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (Fine Particulate Matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Fine Particulate Matter,1/1/2013,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
31103,Fine Particulate Matter,2/1/2013,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
31103,Fine Particulate Matter,3/1/2013,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
31103,Fine Particulate Matter,4/1/2013,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
31103,Fine Particulate Matter,5/1/2013,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
31103,Fine Particulate Matter,6/1/2013,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
31103,Fine Particulate Matter,7/1/2013,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
31103,Fine Particulate Matter,8/1/2013,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
31103,Fine Particulate Matter,9/1/2013,19,18,16,14,14,13,13,12,10,7,7,7,9999,13,12,6,3,2,0,0,0,0,0,0
31103,Fine Particulate Matter,10/1/2013,0,0,0,0,0,1,0,1,2,4,2,1,2,4,8,6,7,7,8,10,11,6,6,4
31103,Fine Particulate Matter,11/1/2013,5,7,5,6,7,6,7,7,6,5,6,7,12,11,12,14,16,17,17,12,14,18,17,11
31103,Fine Particulate Matter,12/1/2013,12,17,15,10,8,11,14,12,4,4,5,6,5,5,6,7,7,7,7,9,13,13,12,9
31103,Fine Particulate Matter,13/1/2013,12,22,22,15,7,7,4,2,4,11,18,18,7,9,9,4,6,10,15,20,16,14,16,12
31103,Fine Particulate Matter,14/1/2013,2,0,0,0,1,7,7,5,6,5,4,4,4,4,4,2,1,1,1,1,1,1,2,3
31103,Fine Particulate Matter,15/1/2013,3,4,5,5,4,4,5,7,10,8,4,8,7,6,6,7,6,7,8,8,9,11,13,12
31103,Fine Particulate Matter,16/1/2013,13,12,14,16,16,17,18,19,21,25,16,14,18,21,16,12,10,10,10,11,14,16,15,13
31103,Fine Particulate Matter,17/1/2013,11,11,8,3,0,0,0,0,0,0,0,1,1,2,3,1,1,1,1,1,0,0,0,0
31103,Fine Particulate Matter,18/1/2013,0,0,0,1,3,2,0,0,0,0,0,0,1,4,4,5,5,6,8,9,11,11,9,7
31103,Fine Particulate Matter,19/1/2013,6,5,5,5,6,6,6,7,8,8,9,9,9,9,8,8,8,7,7,9,10,8,6,5
31103,Fine Particulate Matter,20/1/2013,6,7,10,6,3,4,5,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31103,Fine Particulate Matter,21/1/2013,0,0,0,0,0,0,0,1,1,2,2,3,4,4,5,6,5,5,6,6,4,3,3,2
31103,Fine Particulate Matter,22/1/2013,2,2,1,1,1,1,1,1,1,1,2,2,3,3,2,3,2,3,5,7,5,4,6,5
31103,Fine Particulate Matter,23/1/2013,3,4,0,0,0,0,1,5,7,11,8,8,10,12,10,3,3,3,4,8,10,10,9,8
31103,Fine Particulate Matter,24/1/2013,9,11,12,12,11,9,12,8,6,3,4,5,6,7,5,2,1,3,3,4,5,4,4,4
31103,Fine Particulate Matter,25/1/2013,4,2,2,3,3,2,4,6,8,16,16,15,14,11,11,12,10,8,7,9,9,8,6,5
31103,Fine Particulate Matter,26/1/2013,4,5,6,7,7,5,6,7,8,8,8,9,12,13,13,16,8,22,32,45,50,56,54,36
31103,Fine Particulate Matter,27/1/2013,19,10,11,6,4,2,2,2,3,3,4,4,4,4,9,10,12,15,16,19,19,16,17,19
31103,Fine Particulate Matter,28/1/2013,22,18,20,21,24,20,16,14,14,13,15,16,17,17,15,17,14,18,26,29,21,19,16,8
31103,Fine Particulate Matter,29/1/2013,7,8,10,13,22,19,13,17,19,21,19,18,13,12,13,9,10,9,13,7,6,10,8,10
